q,d=200,d=167,d=125,d=100,d=83,d=67,d=50
1.82692864589913,798815.599999999,338849.886500000,259186.786500000,199340.475000000,79426.9480000000,69561.3725000000,24726.6800000000
2.13496009704289,797693.200000000,338906.683500000,259078.739000000,199344.665000000,79321.0460000000,69614.2420000000,23276.2761904762
2.35664587280388,798572.800000000,338982.481500000,259126.481000000,199314.370000000,79521.2900000000,58255.9560869565,12140.9916666667
2.52594742689634,798644.200000000,338958.984500000,259272.412500000,183179.814285714,79255.9240000000,32025.6105000000,4430.55888888889
2.67279890175937,797799.000000000,338960.862500000,259254.003000000,154933.595833333,69444.9963636364,13300.7149425287,3199.86192307692
2.79206694970532,798571.299999999,338979.969000000,259184.979500000,96425.7000000000,39393.1011111111,8943.43635036497,1904.30210970464
2.88009416649258,998214.100000000,678784.496000000,341334.405185185,51973.8169811321,21385.0427586207,5532.79051948052,1513.25192926045
2.98013311389717,998344.860000000,678908.439500000,194723.687674419,42021.7762500000,11806.8094545455,4674.46600706714,1318.44862637363
3.06661442273444,998404.630000000,591287.354545455,145749.693272727,27552.2801724138,8507.30148148148,3571.69431635389,1136.28301662708
3.14724351437441,998410.029999999,588552.975000000,93537.1484146341,18195.0232323232,7337.87257731959,2952.88721491228,897.881691449814
3.22612828343332,997804.680000000,449127.291071428,72039.2847540984,15217.4077868852,6370.86733333333,2314.32671232877,810.405059021923
3.29644112271940,937505.447619048,492471.944400000,55426.5807017544,13526.2325000000,5479.34474820144,2033.41549549549,707.689823008850
3.36418499983349,850647.530434783,281960.858372093,41524.9378070176,,,,
3.43028838835287,949525.990476191,193354.619824561,30357.9176415094,,,,
3.49377642970031,821295.052173913,162582.264307692,24318.7113625304,,,,
3.54936989727734,747852.608000000,170621.020895522,21673.0172608696,,,,
3.60655851258512,352898.539130435,116837.796601942,17069.7106292517,,,,
3.66241008346001,332498.051063830,79335.3607843137,14547.5929454023,,,,
3.71492644326699,231544.449230769,,,,,,
3.76845321187158,196132.200000000,,,,,,
3.82075721671950,129495.521259843,,,,,,
3.86773431954210,142588.773770492,,,,,,
3.92111793242708,105528.931360947,,,,,,
3.96162945884347,98684.1581920904,,,,,,